symbol,time,type,pnl_r,regime,dollar_pnl,balance
CADCHF,2026-02-10 08:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4487.5
CADCHF,2026-02-11 08:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4452.5
CADCHF,2026-02-12 07:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4417.5
CADCHF,2026-02-13 06:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4382.5
CADCHF,2026-02-16 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4347.5
CADCHF,2026-02-17 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4312.5
CADCHF,2026-02-18 06:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4277.5
CADCHF,2026-02-19 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4242.5
CADCHF,2026-02-20 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4207.5
CADCHF,2026-02-23 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4172.5
CADCHF,2026-02-24 08:00:00,ANTITESIS,-0.7,TRENDING,-35.0,4137.5
CADCHF,2026-02-25 08:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4102.5
CADCHF,2026-02-26 07:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4067.5
CADCHF,2026-02-27 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4032.5
CADCHF,2026-03-02 06:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3997.5
CADCHF,2026-03-03 06:05:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,4050.0
CADCHF,2026-03-04 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,4015.0
CADCHF,2026-03-05 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3980.0
CADCHF,2026-03-06 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3945.0
CADCHF,2026-03-09 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3910.0
CADCHF,2026-03-10 08:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3875.0
CADCHF,2026-03-11 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3840.0
CADCHF,2026-03-12 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3805.0
CADCHF,2026-03-13 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3770.0
CADCHF,2026-03-16 07:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3735.0
CADCHF,2026-03-17 07:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3700.0
CADCHF,2026-03-18 08:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3665.0
CADCHF,2026-03-19 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3630.0
CADCHF,2026-03-20 07:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3595.0
CADCHF,2026-03-23 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3560.0
CADCHF,2026-03-24 06:30:00,TESIS_DOWN,-0.7,TRENDING,-35.0,3525.0
CADCHF,2026-03-25 07:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3490.0
CADCHF,2026-03-26 06:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3455.0
CADCHF,2026-03-27 07:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3420.0
CADCHF,2026-03-30 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3385.0
CADCHF,2026-03-31 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3350.0
CADCHF,2026-04-01 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3315.0
CADCHF,2026-04-02 06:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3280.0
CADCHF,2026-04-03 07:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3245.0
EURJPY,2025-11-18 06:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3210.0
EURJPY,2025-11-19 06:55:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,3262.5
EURJPY,2025-11-20 06:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3227.5
EURJPY,2025-11-21 06:50:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,3280.0
EURJPY,2025-11-24 07:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3245.0
EURJPY,2025-11-25 06:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3210.0
EURJPY,2025-11-26 07:00:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,3262.5
EURJPY,2025-11-27 08:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3227.5
EURJPY,2025-11-28 08:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3192.5
EURJPY,2025-12-01 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3157.5
EURJPY,2025-12-02 06:05:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,3210.0
EURJPY,2025-12-03 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3175.0
EURJPY,2025-12-04 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3140.0
EURJPY,2025-12-05 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3105.0
